"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",2921.77076386148,590197.694300019,0.00161350125524166,2921.77076386148,0.00102191317244647,590197.694300019,0.00161350125524166,2921.77076386148,0.00102191317244647,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"2","trend",0.325639127444384,116732463.343894,0.319126926370337,577883.481900468,0.202119464537608,116732463.343894,0.319126926370337,577883.481900468,0.202119464537608,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"3","season",0.367225973888587,-2179214.13774993,-0.00595760502058568,-10788.1888007422,-0.00377325708733824,-2179214.13774993,-0.00595760502058568,-10788.1888007422,-0.00377325708733824,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"4","holiday",1,8601582.7796459,0.0235152809745961,277470.412246642,0.0970475414245875,8601582.7796459,0.0235152809745961,277470.412246642,0.0970475414245875,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.174980417328607,193398212.12868,0.528718192302007,957416.891726138,0.33486437241388,193398212.12868,0.528718192302007,957416.891726138,0.33486437241388,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"6","events",0.955232558783092,1643075.33524708,0.00449189168558514,821537.667623538,0.287339504724145,1643075.33524708,0.00449189168558514,821537.667623538,0.287339504724145,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,NA,NA,NA,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,NA
"7","tv_S",420472.352993862,5992965.62641512,0.0163837603132443,29668.1466654213,0.0103766764506188,5992965.62641512,0.0163837603132443,29668.1466654213,0.0103766764506188,TRUE,0.210854430775947,0.210854430775947,14454.6552475248,2919840.36,NA,NA,0.229127173048933,0.229127173048933,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,29668.1466654213,24003.8832853527,9549.22803782794,2.05249770107812,2.05249770107812,0.487211264341357,0.487211264341357,7,FALSE,1.5057860092142,0.0520886365108531,1.09538570098843,1.91378374939033,0.166941469516273
"8","ooh_S",185780.820261274,11509756.8132482,0.031465739776784,56978.9941249913,0.0199288682634786,11509756.8132482,0.031465739776784,56978.9941249913,0.0199288682634786,TRUE,0.619578878120078,0.619578878120078,42473.8481848185,8579717.33333333,NA,NA,0.440048918264493,0.440048918264493,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,56978.9941249913,67980.0382327903,25506.1900479718,1.34150769379445,1.34150769379445,0.745429940227556,0.745429940227556,7,FALSE,1.12821507691117,0.0426342543683033,0.796808163508683,1.46666233722697,0.712474469900178
"9","print_S",343007.290734069,4868501.77334069,0.013309665216073,24101.4939274292,0.00842969421992825,4868501.77334069,0.013309665216073,24101.4939274292,0.00842969421992825,TRUE,0.0514722971631998,0.0514722971631998,3528.56853685369,712770.844444444,NA,NA,0.186135899627468,0.186135899627468,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,24101.4939274292,4267.39693359303,738.828396739348,6.83038849201997,6.83038849201997,0.146404556807905,0.146404556807905,7,FALSE,5.46355655660563,0.206075970399176,3.85677619307936,7.09456822017673,0.0943636956096423
"10","facebook_I",10345.6335565546,329435.761698856,0.00090062197828986,1630.87010742008,0.000570410131395503,329435.761698856,0.00090062197828986,1630.87010742008,0.000570410131395503,TRUE,0.0306524210016902,0.0306524210016902,2101.30835975756,424464.288671027,8016398.65550349,8016398.65550349,0.0125952140366994,0.0125952140366994,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,1630.87010742008,2559.28362751012,457.975267752558,0.776121267422283,0.776121267422283,1.28845844325498,1.28845844325498,7,FALSE,2.26767630161086,0.452828930712349,0,5.83809522103641,0.159261737388571
